avatar.default	玩家化身
monster.multi_bone_worm	多骨虫：移动时与相邻两张怪物合成为巨大骷髅
monster.observer	观察者：怪物卡因怪物技能位移时伤害玩家
monster.old_orc	年迈兽人：战斗时恢复1且攻击+1
monster.orc_boss	兽人老大：每移动2次，移除相邻格子上的怪物卡和帮助卡；依靠暴力狂移除怪物得攻击，移除帮助卡得护甲
monster.orc_commander	兽人指挥官：每移动1次，相邻怪物攻击+1
monster.orc_quartermaster	兽人军需官：每移动2次随机强化其他怪物
monster.orc_warrior	兽人战士：战斗时每造成2点伤害，本卡攻击+1
monster.pickpocket	扒手：每移动3次移除相邻帮助卡
monster.ringleader	领头人：每移动3次创建福地，怪物进入福地获得护甲和攻击；福地达到3后下一次移动造成99伤害
monster.rogue	流氓：每损失3点护甲，相邻怪物攻击+1
monster.rolling_stone_man	滚石人：移动到格3时移除格6帮助卡
monster.rotating_cub	旋转幼崽：每移动3次旋转
monster.salamander	火蜥蜴：每移动3次放烈焰
monster.sharp_stone	尖石：护甲归零时伤害玩家
monster.shelter_stone	庇护石：其他怪物卡受到的伤害减少1点
monster.skeleton_king	骷髅王：相邻怪物被移除时获得其移除前攻击和护甲；每移动5次移除随机两张其他怪物并洗入等级2/3随机怪物
monster.skeleton_mage	骷髅法师：所有怪物卡视为与本卡正交相邻
monster.skeleton_taunter	骷髅嘲讽子：相邻时只能与本卡战斗
monster.skull_head	骷髅头：相邻无头骷髅组合
monster.sky_eye	空中巨眼：移动到角格时对玩家造成2点伤害
monster.smart_orc	聪明兽人：每次获得攻击时，本卡额外攻击+1且不递归
monster.smuggler	走私者：累计移动到玩家相邻3次时移除帮助卡并获得护甲
monster.space_master	空间大师：玩家与本卡战斗后旋转一次；每移动9次从其他怪物牌组加入普通怪物
monster.stepwalker	踏步行者：每移动3次与随机帮助卡交换
monster.stone_golem	石傀儡
monster.stone_man	石头人
monster.stone_shrimp	石虾：玩家卡和怪物卡损失护甲时本卡攻击+1
monster.stone_swallower	吞石者：每移动2次吸相邻怪物护甲
monster.stone_thrower	丢石人：每移动2次消耗本卡2护甲并伤害玩家
monster.thug	打手：登场在偶数边位时伤害玩家
monster.vagrant	流浪汉
monster.veteran_orc	历战兽人
monster.void_cub	虚空幼崽：每移动3次随机交换怪物
monster.void_lost	误入虚空者
monster.wandering_child	流浪孩童：格6攻击+2并获得先攻
monster.world_turning_hand	转动世界的手：登场旋转一次
monster.young_orc	年轻兽人：其他怪物获得攻击时本卡攻击+1
deck.dragon	巨龙牌组
deck.orc_legion	兽人军团牌组
deck.skeleton_legion	骷髅军团牌组
deck.stone_legion	石人军团牌组
deck.void	虚空牌组
deck.wandering_legion	流浪军团牌组
relic.blood_shockwave	血液冲击波：血量上限+4，关卡开始放入撞击教程，低血再放一张
relic.craving	渴望：所有恢复血量效果翻倍
relic.dragon_scale_armor	龙鳞甲：基础护甲+1，血量上限+6，怪物攻击-1
relic.gold_armor	金币盔甲：基础护甲+1，金币抵消护甲伤害
relic.gold_knife	打金刀：击杀怪物时获得2金币
relic.heavy_armor	重盔甲：基础护甲+1，按基础护甲补当前护甲
relic.junk_coating	废物涂层：使用帮助卡时获得护甲
relic.junk_launcher	废物发射器：使用帮助卡时随机伤害
relic.junk_recycler	废物利用机：使用帮助卡时恢复2点血量
relic.junk_slot_machine	废物老虎机：使用帮助卡时随机触发九选一
relic.lucky_coin	幸运硬币：击杀精英/层主时加入金币卡
relic.phoenix_feather	凤凰羽毛：血量上限+8，致命伤害免死
relic.potion_bag	药水袋：每关卡开始加入两张恢复药水
relic.rotation_button	旋转按钮：每关卡开始放入旋转轮
relic.shield_knife	打盾刀：击杀怪物时获得护甲
relic.sling	弹弓：击杀怪物时随机伤害
relic.swap_button	交换按钮：每关卡开始放入交换卡
relic.throwing_knife_bag	飞刀袋：每关卡开始加入两张飞刀
relic.vitality_amulet	活力护符：血量上限+6，关卡结束恢复6
relic.wood_armor	木甲：血量上限+2，木套装额外+8
relic.wood_shield	木盾：基础护甲+1，木套装额外+2
relic.wood_sword	木剑：攻击+1，木套装额外+2
Fountain	温泉房
Gold	金币房
Shop	商店
Tavern	酒馆
Treasure	宝箱房
skill.absorb_bone	吸骨：相邻怪物被移除时获得其移除前攻击和护甲
skill.absorb_stone	吸石：每次移动吸取相邻怪物全部护甲
skill.air_strike	空中打击：移动到角格时对玩家造成2点伤害
skill.arsenal	军械库：关卡结束加入飞刀/爆弹/破击锤之一
skill.battle_hardened	历战：战斗时攻击+2，换敌复原
skill.beggar_bond	丐帮同心：每移动5次洗入乞丐
skill.blessing	庇佑：下一次受到伤害时，该次伤害变为0
skill.bloodthirst	嗜血：战斗时每造成2点伤害，本卡攻击+1
skill.breathe_fire	喷火：每移动3次放烈焰
skill.call_followers	呼唤信徒：每移动3次加入龙信徒
skill.delivery	快递：每移动2次，将相邻帮助卡与战斗卡组怪物交换
skill.devotion	献身：被移除时加入烈焰
skill.easy_road	轻车熟路：关卡结束白色帮助卡三选一
skill.even_hatred	偶数仇恨：对偶数等级怪物造成双倍伤害
skill.fall_apart	散架：被移除时洗入骷髅头与无头骷髅
skill.falling_rocks	落石：累计损失10护甲洗入石人
skill.fight_me	和我打！：相邻玩家与其他怪物战斗时改为与本卡战斗
skill.find_weakness	发现弱点：福地达到3后下一次移动造成99伤害
skill.fire_power	火之力：每有一张烈焰，本卡攻击+2
skill.first_strike	先攻：持有先攻技能
skill.flame_boiling	烈焰沸腾：烈焰帮助卡造成的伤害+1
skill.flame_breath	烈焰吐息：每移动4次移除其他普通怪物并按数量加入烈焰
skill.fracture_fall_apart	折损散架：被移除时洗入多骨虫和等级2随机怪物
skill.gear_delivery	发装备了！：每移动2次随机强化其他怪物
skill.gift	礼物：每移动3次放旋转轮
skill.give_punch	给你一拳：登场在偶数边位时伤害玩家
skill.guide	引路：每移动3次创建福地，怪物进入福地获得护甲和攻击
skill.hard	坚硬：左列战斗时按损失护甲伤害玩家
skill.hard_skin	硬皮：血量上限+10，关卡结束恢复10
skill.hoodlum	混的人：每次移动到格1时对玩家造成2点伤害
skill.hot_observation	灼热观察：怪物卡因怪物技能位移时伤害玩家
skill.intense_burning	剧烈燃烧：每有一张烈焰加入战斗卡组，额外加入一张且不递归
skill.learning_growth	学习成长：其他怪物获得攻击时本卡攻击+1
skill.love_fire	恋火：有烈焰时攻击+4
skill.mixed_bones	混合骨头：每移动5次移除随机两张其他怪物并洗入等级2/3随机怪物
skill.monster_battle_hardened	历战怪物：战斗时本卡攻击+2
skill.orc_tactics	兽人战术：每移动1次，相邻怪物攻击+1
skill.otherworld_help	异界帮助：每移动9次从其他怪物牌组加入普通怪物
skill.random_walk	乱步：每移动3次与随机帮助卡交换
skill.range_expand	范围扩大：所有怪物卡视为与本卡正交相邻
skill.rascality	痞气：每损失3点护甲，相邻怪物攻击+1
skill.recombine_body	重新组合身：相邻无头骷髅组合
skill.recombine_head	重新组合头：相邻骷髅头组合
skill.relentless_chase	不休追击：移动到玩家相邻格时强制战斗
skill.rolling_crush	滚动碾压：移动到格3时移除格6帮助卡
skill.rotate_lover	爱好旋转：每移动3次旋转
skill.sacrifice	献祭：每移动2次，移除九宫格上所有的龙信徒
skill.sharp_stone	尖石：护甲归零时伤害玩家
skill.smart	大聪明：每次获得攻击时，本卡额外攻击+1且不递归
skill.space_mastery	空间掌握：玩家与本卡战斗后旋转一次
skill.stocking	进货：累计移动到玩家相邻3次时移除帮助卡并获得护甲
skill.stone_growth	石增长：移动到左列时其他怪物获得2点护甲
skill.stone_lover	石头爱好者：玩家卡和怪物卡损失护甲时本卡攻击+1
skill.stone_shelter	石庇护：其他怪物卡受到的伤害减少1点
skill.stray_cub	流浪幼崽：格6攻击+2并获得先攻
skill.stroll	漫步：每移动1次攻击+2
skill.strong_combo	强力组合：移动时与相邻两张怪物合成为巨大骷髅
skill.survival_wisdom	生存智慧：战斗时恢复1且攻击+1
skill.swallow_stone	吞石：每移动2次吸相邻怪物护甲
skill.taunt	嘲讽：相邻时只能与本卡战斗
skill.thief_claims	东西归我了！：每移动3次移除相邻帮助卡
skill.thorn_skin	刺皮：战斗时对怪物造成等同其攻击的伤害
skill.throw_stone	丢石头：每移动2次消耗本卡2护甲并伤害玩家
skill.tower_child	塔之子：关卡开始放入倍增塔
skill.turn_world	转动：登场旋转一次
skill.unstable	不稳定：每移动3次随机交换怪物
skill.violence_maniac	暴力狂：每移动2次，移除相邻格子上的怪物卡和帮助卡
skill.violence_nutrition	暴力即养分：依靠暴力狂移除怪物得攻击，移除帮助卡得护甲
